,Unnamed: 0,industry_freq,sub_freq,type_freq,city_freq,actual_amount,industry_vertical,sub_vertical,city_location,investment_type,amount_in_usd,predicted_amount,predicted_amount_log,actual_amount_log,funded,Funded
47,1547,0.3569254185692542,0.0034246575342465,0.4284627092846271,0.0403348554033485,650000.0,consumerinternet,onlinelearningplatform,pune,seedfunding,650000.0,350544.34070359514,12.767245337157808,13.384729180332174,True,True
48,364,0.0235920852359208,0.0079908675799086,0.4585235920852359,0.3002283105022831,12500000.0,finance,onlinelendingplatform,bangalore,privateequity,12500000.0,10960162.66326776,16.209777772152556,16.341239282272525,True,True
49,1807,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1997716894977169,12500000.0,consumerinternet,digitalpaymentsplatform,mumbai,privateequity,12500000.0,4676487.321310677,15.358058027539538,16.341239282272525,True,True
50,130,0.0011415525114155,0.0003805175038051,0.0007610350076103,0.01103500761035,1000000.0,food,meatretailchain,jaipur,equity,1000000.0,5155817.578900918,15.455636456018148,13.815511557963774,True,True
51,2626,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.3002283105022831,4850000.0,paymentsolutionsplatform,unknown,bangalore,privateequity,4850000.0,5787616.634954608,15.571231302864163,15.394489469099211,True,True
52,5,0.0121765601217656,0.0003805175038051,0.0091324200913242,0.0334855403348554,9000000.0,logistics,"openmarket,freightmanagementplatform",chennai,seriesa,9000000.0,7380585.719974399,15.814363694768137,16.012735246411598,True,True
53,763,0.3569254185692542,0.0011415525114155,0.4585235920852359,0.3002283105022831,4500000.0,consumerinternet,healthtechplatform,bangalore,privateequity,4500000.0,5001090.816882818,15.425166809937126,15.319588176962746,True,True
54,220,0.0060882800608828,0.0003805175038051,0.4585235920852359,0.0357686453576864,500000.0,fintech,unifiedglobalinvestmentsecosystem,hyderabad,privateequity,500000.0,5812651.977478232,15.57554764723735,13.122365377402328,True,True
55,1106,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.0334855403348554,300000.0,consumerinternet,hyperlocalhandymanserviceprovider,chennai,seedfunding,300000.0,335457.92113210127,12.7232547871585,12.611541086966117,True,True
56,1644,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.3002283105022831,100000.0,consumerinternet,onlinespa&salondiscovery&bookingplatform,bangalore,seedfunding,100000.0,388657.6535537877,12.870456740083428,11.51293546492023,True,True
57,1515,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.0334855403348554,297000.0,consumerinternet,"weddingwishlist,gifts&registrycreationplatform",chennai,seedfunding,297000.0,335457.92113210127,12.7232547871585,12.601490784782536,True,True
58,854,0.0091324200913242,0.0003805175038051,0.4585235920852359,0.1997716894977169,8200000.0,education,executiveeducationprovider,mumbai,privateequity,8200000.0,4447528.753938069,15.307859388536414,15.919644834185693,True,True
59,1538,0.1137747336377473,0.0003805175038051,0.4284627092846271,0.0015220700152207,450000.0,ecommerce,personalizedpreciousjewelleryetailer,coimbatore,seedfunding,450000.0,277139.7799804372,12.532280887040162,13.017005083966255,True,True
60,1937,0.3569254185692542,0.0007610350076103,0.4284627092846271,0.1997716894977169,200000.0,consumerinternet,digitallendingplatform,mumbai,seedfunding,200000.0,329706.76474000973,12.705961979707617,12.206077645517674,True,True
61,2545,0.0007610350076103,0.1997716894977169,0.4284627092846271,0.3002283105022831,500000.0,jobsearchplatform,unknown,bangalore,seedfunding,500000.0,520682.9585600806,13.162898531225078,13.122365377402328,True,True
62,1862,0.0121765601217656,0.0003805175038051,0.4585235920852359,0.1411719939117199,12500000.0,logistics,"domestic,commercial,andindustrialgoodsmovers",newdelhi,privateequity,12500000.0,5561188.758763438,15.531322628724263,16.341239282272525,True,True
63,73,0.0072298325722983,0.0003805175038051,0.0003805175038051,0.0003805175038051,319605.0,edtech,fullstackcareerplatform,chembur,angelround,319605.0,4080034.460704569,15.221616237691734,12.674844266164872,True,True
64,253,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.1997716894977169,4500000.0,technology,ecommercelogisticsplatform,mumbai,privateequity,4500000.0,3864447.0403260384,15.167329420057907,15.319588176962746,True,True
65,213,0.0072298325722983,0.0003805175038051,0.0494672754946727,0.3002283105022831,180000.0,edtech,skilllearningplatform,bangalore,seed/angelfunding,180000.0,642237.673298044,13.372715278846266,12.100717685412471,True,True
66,373,0.1818873668188736,0.0007610350076103,0.4585235920852359,0.1997716894977169,5000000.0,technology,mobilepaymentplatform,mumbai,privateequity,5000000.0,3538647.821167996,15.0792555233126,15.424948670398354,True,True
67,861,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.3002283105022831,3690000.0,technology,interactivetechsupportguides,bangalore,privateequity,3690000.0,4040270.306255439,15.211822402696258,15.121137287019383,True,True
68,2826,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.3002283105022831,900000.0,interactivehowtoguides,unknown,bangalore,seedfunding,900000.0,520682.9585600806,13.162898531225078,13.71015115341694,True,True
69,2397,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.1411719939117199,205000.0,studymaterialmarketplace,unknown,newdelhi,seedfunding,205000.0,314866.1952260848,12.659906226451591,12.230770136157428,True,True
70,2470,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.1411719939117199,12500000.0,ecommercemarketplace,unknown,newdelhi,privateequity,12500000.0,4639616.706823551,15.350142530037346,16.341239282272525,True,True
71,910,0.3569254185692542,0.0007610350076103,0.4585235920852359,0.102359208523592,3100000.0,consumerinternet,mobileservicesmarketplace,gurgaon,privateequity,3100000.0,4623956.545893513,15.3467615080408,14.946912992035967,True,True
72,1382,0.1137747336377473,0.0003805175038051,0.4284627092846271,0.0357686453576864,500000.0,ecommerce,onlinegadgetrepairservicesmarketplace,hyderabad,seedfunding,500000.0,309961.62426260475,12.644207002297732,13.122365377402328,True,True
73,2539,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.1997716894977169,2400000.0,"hyperlocalmaintenance,repair&cleaningservices",unknown,mumbai,privateequity,2400000.0,4227763.541238878,15.257183934080649,14.690979711984754,True,True
74,1111,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.3002283105022831,18000.0,consumerinternet,smartonlineaddresstags,bangalore,seedfunding,18000.0,388657.6535537877,12.870456740083428,9.798182590890704,True,True
75,2691,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.3002283105022831,10000000.0,healthcareserviceprovider,unknown,bangalore,privateequity,10000000.0,5787616.634954608,15.571231302864163,16.118095750958314,True,True
76,505,0.1818873668188736,0.0003805175038051,0.0494672754946727,0.1997716894977169,400000.0,technology,managedcloudenvironmentsolutions,mumbai,seed/angelfunding,400000.0,424549.5597096501,12.958786381786432,12.899222326086994,True,True
77,862,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.0403348554033485,7000000.0,technology,appbasedlogistics&distributionplatform,pune,privateequity,7000000.0,4416185.542396807,15.300787108437463,15.76142084987672,True,True
78,2814,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.0357686453576864,165000.0,pricecomparison,unknown,hyderabad,seedfunding,165000.0,407003.6357714562,12.916579854461723,12.013706813470414,True,True
79,1509,0.0235920852359208,0.0007610350076103,0.4585235920852359,0.1997716894977169,12500000.0,finance,smelendingplatform,mumbai,privateequity,12500000.0,6961810.455627856,15.75595026506032,16.341239282272525,True,True
80,1250,0.1137747336377473,0.0003805175038051,0.4284627092846271,0.3002283105022831,150000.0,ecommerce,ethnicindianfashionmarketplace,bangalore,seedfunding,150000.0,385512.708558319,12.862332031815829,11.918397239722838,True,True
81,151,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.0334855403348554,12500000.0,consumerinternet,onlinepharmacychain,chennai,privateequity,12500000.0,5491449.061858565,15.518702906453186,16.341239282272525,True,True
82,1290,0.1137747336377473,0.0003805175038051,0.4585235920852359,0.0323439878234398,2000000.0,ecommerce,onlinefashionbrandstore,noida,privateequity,2000000.0,3478312.169686568,15.06205801288085,14.508658238524095,True,True
