,industry_freq,sub_freq,type_freq,city_freq,Actual_Funded,industry_vertical,sub_vertical,city_location,investment_type,funded_prediction
1996,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,consumerinternet,personalizedlearningsolutions&products,bangalore,seedfunding,True
1111,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,consumerinternet,smartonlineaddresstags,bangalore,seedfunding,True
988,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.10235920852359208,False,consumerinternet,pathology&diagnostictestsportal,gurgaon,seedfunding,True
1158,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.14117199391171995,True,consumerinternet,holidaypackagesprovider,newdelhi,seedfunding,False
675,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.3002283105022831,True,consumerinternet,budgethotelaggregatorplatform,bangalore,privateequity,True
890,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.011035007610350075,True,consumerinternet,mobileappforschools,jaipur,seedfunding,False
1204,0.3569254185692542,0.00076103500761035,0.4585235920852359,0.14117199391171995,True,consumerinternet,onlinejobportal,newdelhi,privateequity,True
1050,0.0121765601217656,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,logistics,supplychainsolutionsprovider,mumbai,privateequity,True
2826,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.3002283105022831,True,interactivehowtoguides,unknown,bangalore,seedfunding,True
476,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,technology,vrbasedspiritualplatform,bangalore,seedfunding,False
1802,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.04033485540334855,False,technology,convergedbackup&dataprotectionsolutionsforenterprises,pune,privateequity,True
2484,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.032343987823439876,True,hotelbookingapp,unknown,noida,seedfunding,True
324,0.3569254185692542,0.00076103500761035,0.04946727549467275,0.04033485540334855,True,consumerinternet,healthserviceaggregatorplatform,pune,seed/angelfunding,True
2585,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.10235920852359208,True,ethnicbeveragesmanufacturer,unknown,gurgaon,privateequity,True
1862,0.0121765601217656,0.000380517503805175,0.4585235920852359,0.14117199391171995,True,logistics,"domestic,commercial,andindustrialgoodsmovers",newdelhi,privateequity,True
934,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,technology,employeeonboardingandengagementplatform,bangalore,seedfunding,False
2679,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.1997716894977169,True,realestateintelligenceplatform,unknown,mumbai,privateequity,True
2083,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,technology,electronicpaymentssolutioncompany,mumbai,privateequity,True
2104,0.3569254185692542,0.00380517503805175,0.4284627092846271,0.03576864535768645,False,consumerinternet,fooddeliveryplatform,hyderabad,seedfunding,False
1078,0.11377473363774733,0.000380517503805175,0.4284627092846271,0.10235920852359208,False,ecommerce,b2bmarketplaceforhandicrafts,gurgaon,seedfunding,False
1923,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.000380517503805175,True,consumerinternet,healthcareservices&onlinepharmacymobileapp,varanasi,seedfunding,False
2395,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.3002283105022831,True,cloudbasedhotelbookingplatform,unknown,bangalore,seedfunding,True
853,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,consumerinternet,online&mobilebasedlendingplatform,mumbai,privateequity,True
1340,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.00684931506849315,True,technology,personaldigitalassistant,kolkata,privateequity,False
844,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.032343987823439876,False,consumerinternet,onlinemfinvestmentplatform,noida,seedfunding,True
1187,0.3569254185692542,0.00076103500761035,0.4284627092846271,0.14117199391171995,True,consumerinternet,ondemandwashing&drycleaningservices,newdelhi,seedfunding,True
1068,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.3002283105022831,True,consumerinternet,brandedpgaccomodationbookingplatform,bangalore,privateequity,True
673,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.1997716894977169,True,technology,healthtechiotplatform,mumbai,seedfunding,False
18,0.00228310502283105,0.000380517503805175,0.0076103500761035,0.10235920852359208,True,healthandwellness,men'shealthandwellnessbrand,gurgaon,seriesb,True
1261,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.3002283105022831,False,consumerinternet,aipoweredcontent&commerceplatform,bangalore,privateequity,True
2124,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.14117199391171995,True,onlineweddingmarketplace,unknown,newdelhi,privateequity,True
